CLAVE;F_CORTE;PARTIDO;REGION;FLUIDO;DIRECCION;ASIGNACION_PRESUPUESTO;P3_IP;LAT_OBRA;LON_OBRA;NOMBRE_DE_LA_OBRA;TIPO_DE_OBRA;FINANCIA;EJECUTA;ESTADO;SUBESTADO;FECHA_LLAMADO_LICITACION;A_INFORMAR;CONTRATISTA;INVERSION_PRESUPUESTADA_SIN_IVA;INVERSION_REAL_ACUMULADA_SIN_IVA;PLAZO;AVANCE;FIRMA_CTO;ORDEN_INICIO;FIN_OBRA;GEOREF_NA;AREA_RESPONSABLE;ACTIVE;HABITANTES;OBSERVACIONES;ESCENARIO_MYM;PI;UBICACION_OBRA;METROS_AGUA;METROS_CLOACA;CONEXIONES_AGUA;CONEXIONES_CLOACA
49946;2021-08-27;Quilmes;SUDESTE;AGUA;DDC;EXPANSIÓN;SA70276;-34,311607;-58,75556;RSA BARRIO GARAY - ROÑA BERKERMAN;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;REALIZADO;;SI;;10769454,42;0;120;0;;;;;;1;810;;;;;1537;;0;0
8633;2021-08-27;Alte Brown;SUDOESTE;AGUA;DDC;EXPANSION;SA70271;-34,849098;-58,360887;RSA LOS PARAGUAYOS RESTO;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;NESTOR KIRCHNER;20000000;0;300;0;;;;;;1;2500;;;;;3000;;0;0
171;2021-08-27;Florencio Varela;SUDESTE;AGUA;DDC;EXPANSION;SA70273;-34,810793;-58,313186;RSA BARRIO LUJAN;RED SECUNDARIA;FONPLATA;A+T;CONTRATADA;;;SI;;38721217,88;0;300;0;;;;PROYECTO PREVISTO;DDC;1;4072;;;;;5943;;0;0
49746;2021-08-27;Malvinas Argentinas;NORTE;AGUA;DDC;EXPANSION;SP3;0;0;RED SECUNDARIA ING SOURDEAUX I – ETAPA 1 - M2;RED SECUNDARIA;FONPLATA 2;A+T;EN PROYECTO;;;SI;;20000000;0;300;0;;;;PROYECTO PREVISTO;;1;2500;;;;;5000;;0;0
49747;2021-08-27;Quilmes;SUDESTE;CLOACA;DDC;EXPANSION;SP3;-34,702966;-58,306213;RED SECUNDARIA DE CLOACA BARRIO AZUL;RED SECUNDARIA;AYSA;C+T;EN PROYECTO;;;SI;;26000000;0;390;0;;;;PROYECTO PREVISTO;;1;4416;;;;;;5800;0;0
49748;2021-08-27;Lanus;SUDESTE;AGUA;DDC;EXPANSION;SP3;-34,7368;-58,3443;CIERRES DE MALLA LANUS MOD 3 - TERMINACIÓN;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;20000000;0;300;0;;;;PROYECTO PREVISTO;;1;1260;;;;;3560;;0;0
49755;2021-08-27;Tigre;NORTE;CLOACA;DDC;EXPANSION;SP3;-34,44325308;-58,59309588;RSC LARRALDE SUR M3;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;PROYECTO PREVISTO;;1;1379;;;;;;1200;0;0
49756;2021-08-27;Tigre;NORTE;CLOACA;DDC;EXPANSION;SP3;-34,44325308;-58,59309588;RSC LARRALDE SUR M4;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;SI;;26000000;0;300;0;;;;PROYECTO PREVISTO;;1;1378;;;;;;1200;0;0
12;2021-08-27;Escobar;NORTE;AGUA;DDC;EXPANSION;NA70079;-34,37523218;-58,74032164;SAN MIGUEL M2;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;27765642,43;0;300;0;;;;;DDC;1;2500;;;;;5634;;0;0
19;2021-08-27;Escobar;NORTE;AGUA;DDC;EXPANSION;NA70201;-34,334717;-58,791583;RED SECUNDARIA DE AGUA BARRIOS ESCOBAR CENTRO - LA CHECHELA - VILLA BOTE;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;;;SI;;26000000;0;390;0;;;;;DDC;1;1343;;;;;4377;;0;0
